Ticker,Name,Sector,Industry,FIGI
MMSI UW Equity,Merit Medical Systems Inc,Health Care,Health Care Equipment & Suppli,BBG000C435Z4
MSA UN Equity,MSA Safety Inc,Industrials,Commercial Services & Supplies,BBG000BPDYJ2
MNRO UW Equity,Monro Inc,Consumer Discretionary,Specialty Retail,BBG000C0C911
MOG/A UN Equity,Moog Inc,Industrials,Aerospace & Defense,BBG000BP7SD8
MCS UN Equity,Marcus Corp/The,Communication Services,Entertainment,BBG000D6HMW9
MCY UN Equity,Mercury General Corp,Financials,Insurance,BBG000F1C943
HFFG UR Equity,HF Foods Group Inc,Consumer Staples,Food & Staples Retailing,BBG00HMS9N24
BWFG UQ Equity,Bankwell Financial Group Inc,Financials,Banks,BBG001KFN5G7
MTRX UW Equity,Matrix Service Co,Energy,Energy Equipment & Services,BBG000C4TZ53
MTSC UW Equity,MTS Systems Corp,Information Technology,"Electronic Equipment, Instrume",BBG000BPLK76
MYE UN Equity,Myers Industries Inc,Materials,Containers & Packaging,BBG000BPQ2D4
NBTB UW Equity,NBT Bancorp Inc,Financials,Banks,BBG000CJPPS1
NDSN UW Equity,Nordson Corp,Industrials,Machinery,BBG000BPWS22
NEOG UW Equity,Neogen Corp,Health Care,Health Care Equipment & Suppli,BBG000C1BPB3
NNN UN Equity,National Retail Properties Inc,Real Estate,Equity Real Estate Investment,BBG000CLQ3T3
NVR UN Equity,NVR Inc,Consumer Discretionary,Household Durables,BBG000BQC1R4
NWN UN Equity,Northwest Natural Holding Co,Utilities,Gas Utilities,BBG00KXKRL17
EVTC UN Equity,EVERTEC Inc,Information Technology,IT Services,BBG0043R5HN0
ODFL UW Equity,Old Dominion Freight Line Inc,Industrials,Road & Rail,BBG000CHV281
RLGT UA Equity,Radiant Logistics Inc,Industrials,Air Freight & Logistics,BBG000N0SMY7
CUZ UN Equity,Cousins Properties Inc,Real Estate,Equity Real Estate Investment,BBG000CW9DM3
PEI UN Equity,Pennsylvania Real Estate Investment Trus,Real Estate,Equity Real Estate Investment,BBG000BR00H8
PDCE UW Equity,PDC Energy Inc,Energy,"Oil, Gas & Consumable Fuels",BBG000BR1SH6
AGYS UW Equity,Agilysys Inc,Information Technology,Software,BBG000BR7GZ6
SFBS UW Equity,ServisFirst Bancshares Inc,Financials,Banks,BBG006FCB6H9
PLXS UW Equity,Plexus Corp,Information Technology,"Electronic Equipment, Instrume",BBG000BRC968
CRCM UN Equity,Care.com Inc,Communication Services,Interactive Media & Services,BBG005QR76D5
POWL UW Equity,Powell Industries Inc,Industrials,Electrical Equipment,BBG000BRH4D6
PSB UN Equity,PS Business Parks Inc,Real Estate,Equity Real Estate Investment,BBG000D9QBK0
KWR UN Equity,Quaker Chemical Corp,Materials,Chemicals,BBG000DZT6B0
NXGN UW Equity,NextGen Healthcare Inc,Health Care,Health Care Technology,BBG000BRVJL8
RBC UN Equity,Regal Beloit Corp,Industrials,Electrical Equipment,BBG000BRXWM6
REGN UW Equity,Regeneron Pharmaceuticals Inc,Health Care,Biotechnology,BBG000C75K91
RGS UN Equity,Regis Corp,Consumer Discretionary,Diversified Consumer Services,BBG000C8TZJ9
OFC UN Equity,Corporate Office Properties Trust,Real Estate,Equity Real Estate Investment,BBG000BXL661
UEIC UW Equity,Universal Electronics Inc,Consumer Discretionary,Household Durables,BBG000CZ1MF2
ROG UN Equity,Rogers Corp,Information Technology,"Electronic Equipment, Instrume",BBG000BS9KW6
DLTH UW Equity,Duluth Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Re,BBG00B59FBP2
RPM UN Equity,RPM International Inc,Materials,Chemicals,BBG000DCPNF4
SAFM UW Equity,Sanderson Farms Inc,Consumer Staples,Food Products,BBG000BSHWL3
SCHL UW Equity,Scholastic Corp,Communication Services,Media,BBG000BSDVZ4
SCL UN Equity,Stepan Co,Materials,Chemicals,BBG000BSMJ63
SMG UN Equity,Scotts Miracle-Gro Co/The,Materials,Chemicals,BBG000BT5V54
SENEA UW Equity,Seneca Foods Corp,Consumer Staples,Food Products,BBG000DQ3432
REZI UN Equity,Resideo Technologies Inc,Industrials,Building Products,BBG00HY28KC4
SFNC UW Equity,Simmons First National Corp,Financials,Banks,BBG000BSTL98
